City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,bindura,-17.3019,31.3306,18.53,84,100,1.56,ZW,1678568016
171,cockburn town,21.4612,-71.1419,23.81,60,68,1.91,TC,1678568017
172,tuatapere,-46.1333,167.6833,14.86,78,97,3.41,NZ,1678568017
173,kaitangata,-46.2817,169.8464,14.27,65,98,1.87,NZ,1678567978
174,comodoro rivadavia,-45.8667,-67.5,21.92,46,20,7.2,AR,1678568018
175,barberton,-25.7884,31.0532,22.03,92,0,0.62,ZA,1678568018
176,pokhara,28.2333,83.9833,16.11,30,27,2.84,NP,1678568018
177,saint anthony,45.0205,-93.218,0.07,87,100,6.69,US,1678568019
178,sorland,67.667,12.6934,-0.08,48,61,6.52,NO,1678567924
179,merrill,45.1805,-89.6835,-0.57,77,100,3.6,US,1678567863
180,san patricio,28.017,-97.5169,33.42,41,0,7.58,US,1678568020
181,lompoc,34.6391,-120.4579,19.08,90,100,4.12,US,1678568020
182,souillac,-20.5167,57.5167,26.21,83,75,6.17,MU,1678568020
183,fairmont,39.4851,-80.1426,3.54,71,100,2.52,US,1678568021
184,belyy yar,53.6039,91.3903,-3.06,82,100,1.0,RU,1678568021
185,ribeira grande,38.5167,-28.7,18.22,88,40,10.8,PT,1678568022
186,macaubas,-13.0194,-42.6986,27.73,44,92,2.47,BR,1678568022
187,georgetown,5.4112,100.3354,26.96,94,20,1.54,MY,1678568022
188,severo-yeniseyskiy,60.3725,93.0408,-2.72,79,100,3.68,RU,1678568023
189,krapivinskiy,54.9992,86.8133,1.21,99,100,6.68,RU,1678568023
190,tessalit,20.1986,1.0114,32.54,9,89,3.37,ML,1678567902
191,smithers,54.7804,-127.1743,-6.82,45,75,4.12,CA,1678568024
192,japura,-0.3167,102.35,22.03,100,85,0.72,ID,1678568024
193,bandrele,-12.9067,45.1914,25.86,89,0,1.54,YT,1678568025
194,ust-kuyga,70.0167,135.6,-28.02,100,94,1.43,RU,1678568025
195,inhambane,-23.865,35.3833,24.7,91,13,2.78,MZ,1678568025
196,campbell river,50.0163,-125.2446,7.74,70,75,5.66,CA,1678568026
197,raymond,43.9015,-70.4703,4.71,53,100,3.93,US,1678568026
198,abu dhabi,24.4667,54.3667,25.06,68,0,2.06,AE,1678567965
199,dhidhdhoo,6.8833,73.1,27.41,76,6,3.44,MV,1678568027
200,weligama,5.9667,80.4167,23.67,89,69,3.13,LK,1678568028
201,gorom-gorom,14.4439,-0.2361,32.97,11,96,4.42,BF,1678568028
202,kodiak,57.79,-152.4072,3.73,28,0,5.66,US,1678567999
203,vanimo,-2.6741,141.3028,25.02,86,100,1.52,PG,1678568029
204,isangel,-19.55,169.2667,26.29,66,2,5.59,VU,1678568029
205,takab,36.4009,47.1133,4.17,70,13,0.32,IR,1678568029
206,saskylakh,71.9167,114.0833,-24.27,91,99,3.45,RU,1678568004
207,chokurdakh,70.6333,147.9167,-33.04,96,41,1.75,RU,1678568030
208,nyurba,63.2842,118.3319,-33.26,100,100,1.59,RU,1678568031
209,mar del plata,-38.0023,-57.5575,26.02,95,40,5.14,AR,1678568031
210,lagoa,39.05,-27.9833,16.64,91,100,14.19,PT,1678568031
211,san quintin,30.4833,-115.95,19.13,73,98,6.36,MX,1678568032
212,kumba,4.6363,9.4469,23.72,91,95,0.69,CM,1678568032
213,quatre cocos,-20.2078,57.7625,26.06,82,85,6.32,MU,1678568033
214,valdemarpils,57.3707,22.5919,-2.09,77,100,6.7,LV,1678568033
215,ponta do sol,32.6667,-17.1,20.0,73,76,2.54,PT,1678568034
216,aklavik,68.2191,-135.0107,-18.0,65,20,2.06,CA,1678568034
217,svidnik,49.3082,21.5703,1.68,73,98,6.92,SK,1678568034
218,te anau,-45.4167,167.7167,12.7,93,100,3.13,NZ,1678568035
219,port-cartier,50.0334,-66.8654,1.12,75,20,0.86,CA,1678568035
220,faanui,-16.4833,-151.75,27.95,78,97,8.49,PF,1678568036
221,miragoane,18.4423,-73.0876,25.95,67,71,1.86,HT,1678568036
222,odweyne,9.4092,45.064,25.29,49,91,3.78,SO,1678568036
223,khed brahma,24.0333,73.05,22.95,21,21,1.91,IN,1678568037
224,lac du bonnet,50.2536,-96.0612,-5.39,77,100,6.0,CA,1678568037
225,eresos,39.1667,25.9333,14.94,77,100,5.62,GR,1678568038
226,iqaluit,63.7506,-68.5145,-19.15,78,20,0.0,CA,1678568038
227,vila velha,-20.3297,-40.2925,28.97,82,20,6.17,BR,1678568039
228,tautira,-17.7333,-149.15,27.91,82,49,7.09,PF,1678568039
229,talas,38.6908,35.5538,12.37,38,75,6.17,TR,1678568039
230,lovozero,68.005,35.0117,-12.14,94,100,1.87,RU,1678568040
231,yantzaza,-3.8278,-78.7594,22.5,93,91,0.91,EC,1678568040
232,cottonwood heights,40.6197,-111.8102,6.96,62,69,0.89,US,1678568041
233,caravelas,-17.7125,-39.2481,25.15,78,100,2.77,BR,1678567976
234,niltepec,16.5667,-94.6167,33.48,41,0,5.41,MX,1678568041
235,coeneo,19.8167,-101.5833,27.94,18,36,1.64,MX,1678568042
236,atar,20.5169,-13.0499,28.94,8,0,3.52,MR,1678568042
237,omboue,-1.5746,9.2618,24.75,87,100,1.64,GA,1678568043
238,tual,-5.6667,132.75,27.84,74,100,2.32,ID,1678568044
239,mvangue,2.9667,11.5167,19.8,94,100,0.22,CM,1678568044
240,paciran,-6.8767,112.3761,24.33,89,100,3.38,ID,1678568045
241,houma,29.5958,-90.7195,27.78,71,18,4.02,US,1678568045
242,chapais,49.7834,-74.8492,-4.12,79,100,3.58,CA,1678568046
243,mizdah,31.4451,12.9801,18.35,35,2,2.65,LY,1678568046
244,cayenne,4.9333,-52.3333,29.02,70,75,5.14,GF,1678567978
245,moerai,-22.4333,-151.3333,25.66,77,100,7.56,PF,1678568047
246,bestobe,52.4994,73.0975,1.04,91,100,4.98,KZ,1678568047
247,talnakh,69.4865,88.3972,-9.33,96,100,4.35,RU,1678568047
248,luderitz,-26.6481,15.1594,17.98,74,0,8.65,NA,1678567930
249,buchanan,5.8808,-10.0467,26.16,84,93,2.61,LR,1678568048
250,kutum,14.2,24.6667,20.87,11,21,5.11,SD,1678568048
251,boa vista,2.8197,-60.6733,28.99,54,75,5.14,BR,1678568049
252,sambava,-14.2667,50.1667,24.88,87,74,3.94,MG,1678568049
253,dingle,10.9995,122.6711,23.23,89,7,3.09,PH,1678568050
254,jinxiang,27.4327,120.6062,16.02,77,86,2.09,CN,1678568050
255,burnie,-41.0667,145.9167,12.19,85,4,4.9,AU,1678568051
256,warrington,53.3925,-2.5802,3.81,94,100,4.63,GB,1678568052
257,cherskiy,68.75,161.3,-26.69,89,43,3.98,RU,1678567895
258,ketchikan,55.3422,-131.6461,3.26,41,75,2.06,US,1678568052
259,nanakuli,21.3906,-158.1547,26.65,64,0,2.57,US,1678568053
260,taltal,-25.4,-70.4833,21.89,75,38,2.17,CL,1678568053
261,bambous virieux,-20.3428,57.7575,26.14,83,75,6.17,MU,1678568054
262,nanortalik,60.1432,-45.2371,-1.7,77,27,0.73,GL,1678568054
263,kyshtovka,56.555,76.6271,0.24,88,100,6.33,RU,1678568054
264,severo-kurilsk,50.6789,156.125,-0.2,90,100,3.73,RU,1678568038
265,praia da vitoria,38.7333,-27.0667,17.64,100,75,14.26,PT,1678568055
266,kaeo,-35.1,173.7833,17.4,97,74,1.33,NZ,1678568056
267,lishu,43.3047,124.3278,-5.65,25,61,4.51,CN,1678568056
268,yarada,17.65,83.2667,22.18,100,0,1.03,IN,1678568057
269,sakhon nakhon,17.1612,104.1472,20.46,68,89,3.04,TH,1678568057
270,sokoto,13.0609,5.239,30.37,11,98,4.25,NG,1678568058
271,sangueya,10.7,-14.3667,23.67,78,0,2.09,GN,1678568058
272,svetlyy,54.675,20.1347,1.09,71,15,7.2,RU,1678568059
273,jiayuguan,39.8167,98.3,-1.81,33,0,1.96,CN,1678568059
274,shimoda,34.6667,138.95,9.5,71,15,2.0,JP,1678568060
275,troitsko-pechorsk,62.7084,56.1964,-12.61,97,84,2.39,RU,1678568060
276,maroantsetra,-15.4333,49.7333,25.04,86,94,2.31,MG,1678568061
277,cap-aux-meules,47.3821,-61.8597,0.03,86,20,8.23,CA,1678568061
278,sabha,27.0377,14.4283,20.25,22,0,3.18,LY,1678568062
279,gazanjyk,39.2446,55.5154,14.47,53,0,4.46,TM,1678568062
280,mount gambier,-37.8333,140.7667,12.16,94,15,1.96,AU,1678567803
281,cervo,43.6702,-7.4101,15.54,87,100,5.17,ES,1678568063
282,kirovskiy,45.0917,133.5136,-1.02,94,100,2.49,RU,1678568063
283,berezovyy,51.6667,135.7,-12.88,90,33,2.23,RU,1678568064
284,rochester,43.1548,-77.6156,1.18,71,75,3.09,US,1678568064
285,nuevo casas grandes,30.4167,-107.9167,23.73,20,40,9.08,MX,1678568065
286,marrakesh,31.6315,-8.0083,26.04,27,0,2.57,MA,1678568065
287,pucara,-15.9803,-71.4606,0.07,89,94,3.84,PE,1678568066
288,richards bay,-28.783,32.0377,24.93,88,28,0.95,ZA,1678568066
289,chuy,-33.6971,-53.4616,27.05,66,5,6.14,UY,1678568067
290,straumen,63.8709,11.2999,-5.0,76,73,4.94,NO,1678568067
291,zeya,53.75,127.2667,-13.1,97,100,0.81,RU,1678568068
292,mocuba,-16.8392,36.9856,22.82,97,100,7.32,MZ,1678568068
293,mehamn,71.0357,27.8492,-8.05,62,5,9.77,NO,1678568069
294,zilair,52.2332,57.4392,-10.98,94,26,1.37,RU,1678568069
295,partenit,44.578,34.3446,9.85,96,100,4.1,UA,1678568069
296,paamiut,61.994,-49.6678,-2.87,78,99,3.14,GL,1678568070
297,melfort,52.8667,-104.6177,-7.93,67,100,5.14,CA,1678568070
298,kununurra,-15.7667,128.7333,20.99,94,3,0.0,AU,1678568071
299,porto novo,6.4965,2.6036,27.9,77,82,3.68,BJ,1678568071
300,bonfim,3.0833,-59.95,31.62,44,95,4.62,BR,1678567996
301,naples,40.8333,14.25,15.21,93,75,0.51,IT,1678567926
302,ampanihy,-24.7,44.75,22.86,80,78,2.29,MG,1678568072
303,okhotsk,59.3833,143.3,-11.69,93,100,6.39,RU,1678568072
304,vryburg,-26.9566,24.7284,20.2,29,0,2.26,ZA,1678568073
305,cuautepec,16.7,-99.0,29.22,50,1,4.1,MX,1678568073
306,longyearbyen,78.2186,15.6401,-8.09,73,75,7.72,SJ,1678568074
307,hovd,48.0056,91.6419,-2.78,25,98,1.4,MN,1678568074
308,simao,22.7886,100.9748,16.47,35,100,0.47,CN,1678568074
309,mandurah,-32.55,115.7,17.23,46,7,1.5,AU,1678568075
310,moron,-34.6534,-58.6198,38.94,34,0,3.59,AR,1678568075
311,khuzdar,27.7384,66.6434,18.92,25,98,2.27,PK,1678568076
312,price,39.5994,-110.8107,7.59,49,75,0.0,US,1678568076
313,morros,-9.4467,-46.3003,29.07,50,94,2.65,BR,1678567894
314,izumo,35.3667,132.7667,8.97,74,100,2.23,JP,1678568076
315,hamilton,39.1834,-84.5333,8.51,54,0,2.24,US,1678568077
316,luau,-10.7073,22.2247,17.26,97,100,1.04,AO,1678568077
317,kirakira,-10.4544,161.9205,25.59,89,100,0.34,SB,1678568078
318,merauke,-8.4667,140.3333,26.14,83,100,1.72,ID,1678568078
319,strelka,58.0728,93.0344,-4.89,95,100,2.3,RU,1678568079
320,naze,28.3667,129.4833,18.51,60,100,4.42,JP,1678568079
321,edeia,-17.3383,-49.9314,21.12,95,100,1.79,BR,1678568079
322,tromso,69.6496,18.957,-2.99,74,75,8.75,NO,1678568080
323,ryotsu,38.0833,138.4333,10.18,61,85,1.24,JP,1678568080
324,ancud,-41.8697,-73.8203,15.58,93,100,12.72,CL,1678568081
325,araouane,18.9048,-3.5265,30.84,9,75,2.45,ML,1678568081
326,gat,31.61,34.7642,17.44,37,87,1.65,IL,1678568082
327,clyde river,70.4692,-68.5914,-15.87,78,20,8.23,CA,1678568082
328,lantana,26.5867,-80.052,31.69,51,40,5.14,US,1678568083
329,lichinga,-13.3128,35.2406,20.05,94,75,2.06,MZ,1678568083
330,belmonte,-15.8631,-38.8828,25.92,73,15,3.43,BR,1678567934
331,ahuimanu,21.4447,-157.8378,26.52,63,0,3.09,US,1678568084
332,kawhia,-38.0651,174.8183,18.33,69,100,3.09,NZ,1678568084
333,peyima,8.7,-11.0333,27.24,53,100,2.25,SL,1678568085
334,tolmachevo,54.9824,82.7363,0.99,93,100,5.0,RU,1678568085
335,grindavik,63.8424,-22.4338,-8.74,48,75,9.77,IS,1678567793
336,qui nhon,13.7667,109.2333,22.52,77,89,3.79,VN,1678568086
337,wajima,37.4,136.9,10.86,71,98,2.55,JP,1678568086
338,mazara del vallo,37.6641,12.588,15.97,87,31,8.61,IT,1678568086
339,agadez,19.75,10.25,24.1,13,93,1.79,NE,1678568087
340,aktas,49.7789,72.9608,-0.14,99,100,3.21,KZ,1678568087
341,aguimes,27.9054,-15.4461,18.7,88,20,7.2,ES,1678568088
342,nova olinda do norte,-3.8881,-59.0942,27.48,92,66,0.51,BR,1678568088
343,taoudenni,22.6783,-3.9836,30.4,9,0,9.27,ML,1678568088
344,umm bab,25.2142,50.8072,19.71,79,6,5.68,QA,1678568089
345,lazaro cardenas,17.9583,-102.2,27.63,57,2,4.4,MX,1678568089
346,quelimane,-17.8786,36.8883,24.21,96,100,10.16,MZ,1678568090
347,port elizabeth,-33.918,25.5701,19.62,80,10,2.24,ZA,1678567923
348,hasaki,35.7333,140.8333,8.45,62,2,2.14,JP,1678568090
349,portobelo,9.55,-79.65,26.73,70,100,4.87,PA,1678568091
350,sao filipe,14.8961,-24.4956,24.47,62,0,2.6,CV,1678568091
351,hithadhoo,-0.6,73.0833,27.55,72,14,2.69,MV,1678567896
352,thinadhoo,0.5333,72.9333,27.65,74,14,3.94,MV,1678568092
353,kidal,18.4411,1.4078,31.43,10,50,2.67,ML,1678568092
354,pionki,51.476,21.4499,-0.23,93,68,7.08,PL,1678567929
355,verkhoyansk,67.5447,133.385,-27.69,100,100,0.7,RU,1678568092
356,basco,20.4487,121.9702,22.44,63,13,6.43,PH,1678568093
357,anadyr,64.75,177.4833,-24.72,84,0,3.0,RU,1678568093
358,rabo de peixe,37.8,-25.5833,16.73,94,75,7.2,PT,1678568094
359,pingyin,36.2831,116.4453,4.89,35,94,9.05,CN,1678568094
360,marathon,44.9,-89.7668,-0.42,77,100,3.6,US,1678568095
361,bosaso,11.2842,49.1816,25.66,82,76,0.94,SO,1678568095
362,mangai,-4.05,19.5333,21.07,99,100,0.31,CD,1678568095
363,bang saphan,11.2126,99.5117,22.24,94,68,0.91,TH,1678568096
364,virginia beach,36.8529,-75.978,11.68,50,75,9.26,US,1678568067
